Date,Predicted,Coin,Model
2023-06-22 00:00:00,31812.982913272757,BTC,Prophet
2023-06-22 01:00:00,31800.526054473426,BTC,Prophet
2023-06-22 02:00:00,31793.625104620565,BTC,Prophet
2023-06-22 03:00:00,31793.25502011223,BTC,Prophet
2023-06-22 04:00:00,31793.84006336691,BTC,Prophet
2023-06-22 05:00:00,31789.555819829282,BTC,Prophet
2023-06-22 06:00:00,31780.532263633846,BTC,Prophet
2023-06-22 07:00:00,31772.53782252586,BTC,Prophet
2023-06-22 08:00:00,31770.427911850893,BTC,Prophet
2023-06-22 09:00:00,31772.111771267242,BTC,Prophet
2023-06-22 10:00:00,31769.45030902943,BTC,Prophet
2023-06-22 11:00:00,31755.59620868373,BTC,Prophet
2023-06-22 12:00:00,31731.704435326188,BTC,Prophet
2023-06-22 13:00:00,31706.31890227909,BTC,Prophet
2023-06-22 14:00:00,31687.81471535638,BTC,Prophet
2023-06-22 15:00:00,31677.08111699186,BTC,Prophet
2023-06-22 16:00:00,31667.414289140164,BTC,Prophet
2023-06-22 17:00:00,31651.53905942532,BTC,Prophet
2023-06-22 18:00:00,31628.75573839061,BTC,Prophet
2023-06-22 19:00:00,31605.237123995248,BTC,Prophet
2023-06-22 20:00:00,31587.395507145673,BTC,Prophet
2023-06-22 21:00:00,31575.114430716832,BTC,Prophet
2023-06-22 22:00:00,31561.67983184481,BTC,Prophet
2023-06-22 23:00:00,31540.478145913905,BTC,Prophet
2023-06-23 00:00:00,31511.75498793262,BTC,Prophet
2023-06-23 01:00:00,31482.70140534413,BTC,Prophet
2023-06-23 02:00:00,31460.827510856565,BTC,Prophet
2023-06-23 03:00:00,31447.25461804118,BTC,Prophet
2023-06-23 04:00:00,31436.53173450598,BTC,Prophet
2023-06-23 05:00:00,31422.93610139681,BTC,Prophet
2023-06-23 06:00:00,31406.675068497483,BTC,Prophet
2023-06-23 07:00:00,31393.569270218315,BTC,Prophet
2023-06-23 08:00:00,31388.500583198056,BTC,Prophet
2023-06-23 09:00:00,31389.378706149633,BTC,Prophet
2023-06-23 10:00:00,31388.039069790462,BTC,Prophet
2023-06-23 11:00:00,31377.583330684793,BTC,Prophet
2023-06-23 12:00:00,31359.090581069613,BTC,Prophet
2023-06-23 13:00:00,31341.005026525894,BTC,Prophet
2023-06-23 14:00:00,31331.579535802426,BTC,Prophet
2023-06-23 15:00:00,31331.56016856616,BTC,Prophet
2023-06-23 16:00:00,31334.08081994036,BTC,Prophet
2023-06-23 17:00:00,31331.68700314802,BTC,Prophet
2023-06-23 18:00:00,31323.484971932325,BTC,Prophet
2023-06-23 19:00:00,31315.441190166413,BTC,Prophet
2023-06-23 20:00:00,31313.751951470844,BTC,Prophet
2023-06-23 21:00:00,31318.07786847847,BTC,Prophet
2023-06-23 22:00:00,31321.477827226576,BTC,Prophet
2023-06-23 23:00:00,31317.109949902337,BTC,Prophet
2023-06-24 00:00:00,31304.993145749315,BTC,Prophet
2023-06-24 01:00:00,31292.096208274314,BTC,Prophet
2023-06-24 02:00:00,31285.714231735237,BTC,Prophet
2023-06-24 03:00:00,31286.763434837358,BTC,Prophet
2023-06-24 04:00:00,31289.600212859485,BTC,Prophet
2023-06-24 05:00:00,31288.324075000673,BTC,Prophet
2023-06-24 06:00:00,31282.98172632235,BTC,Prophet
2023-06-24 07:00:00,31279.252232088573,BTC,Prophet
2023-06-24 08:00:00,31281.89672048513,BTC,Prophet
2023-06-24 09:00:00,31288.72644270327,BTC,Prophet
2023-06-24 10:00:00,31291.50187990826,BTC,Prophet
2023-06-24 11:00:00,31283.274136183434,BTC,Prophet
2023-06-24 12:00:00,31265.09673851768,BTC,Prophet
2023-06-24 13:00:00,31245.413588596035,BTC,Prophet
2023-06-24 14:00:00,31232.50246759708,BTC,Prophet
2023-06-24 15:00:00,31227.159200638755,BTC,Prophet
2023-06-24 16:00:00,31222.59162462713,BTC,Prophet
2023-06-24 17:00:00,31211.44238968285,BTC,Prophet
